Name,Economic Sector,2013,2014,2015,2016,2017,2018
1128,Consumer Cyclicals,182342.3,113522.2,47071.39,64112.72,128601.3,88764.0
968,Energy,9119.99,13011.2,21393.69,17006.98,22420.16,21064.14
1530,Healthcare,,,27366.6,19118.96,38945.14,25538.89
3319,Real Estate,,,,,,4602.0
2018,Technology,46234.21,51023.42,62075.41,86512.63,170346.9,55358.13
3383,Real Estate,28647.47,17274.14,16921.61,15472.31,46456.09,36075.94
1789,Healthcare,,,,,3164.38,4515.66
9926,Healthcare,,,,,,
1060,Consumer Cyclicals,3330.15,29238.64,48450.35,31795.57,26743.2,33644.17
373,Financials,5678.31,5958.61,6880.53,6984.39,7996.81,7812.27
9966,Healthcare,,,,,,
9990,Consumer Cyclicals,,,,,,
743,Basic Materials,7610.06,7097.83,2898.67,2804.66,4293.17,8602.01
1675,Technology,,,,,,7266.23
522,Technology,26001.11,29786.37,24635.84,33537.21,44549.12,30683.34
1717,Consumer Non-Cyclicals,1440.79,2575.66,2769.97,3855.49,5890.92,13922.93
2357,Industrials,10627.51,11287.31,14374.24,12583.35,9802.76,30726.0
23,Financials,75210.38,73339.13,76190.75,80271.31,93611.94,70853.25
416,Financials,,,8618.38,24543.88,19207.16,27329.57
392,Utilities,97677.75,78088.5,60229.84,46257.89,58559.24,52375.18
371,Utilities,41083.22,46062.26,47365.57,45084.75,53202.57,37557.81
694,Industrials,11407.74,11708.43,15730.27,14734.21,22138.9,15617.51
2299,Consumer Cyclicals,9514.44,8845.07,9795.6,12069.19,20213.42,20169.18
2588,Financials,,,,26441.79,28905.52,40217.89
3998,Consumer Cyclicals,11690.72,8327.64,5364.92,7157.31,7264.14,15810.18
1114,Consumer Cyclicals,63525.68,62621.04,49001.22,53825.74,105446.1,29413.91
1908,Real Estate,216.0,990.0,1569.6,2195.64,5070.56,4908.89
43,Consumer Non-Cyclicals,16780.41,20701.77,19738.88,23108.93,14924.52,16128.11
341,Consumer Cyclicals,14417.0,15613.13,13266.14,14688.36,12559.89,11113.6
6185,Healthcare,,,,,,
293,Industrials,64514.99,66481.88,52792.15,40125.21,47678.18,43823.02
9983,Real Estate,,,,,,
832,Real Estate,5820.47,4261.85,3956.48,4127.43,8962.98,7866.03
1816,Utilities,,37621.41,32374.5,23778.52,23666.88,20764.34
2778,Real Estate,19598.55,20681.46,22394.11,24352.59,33365.94,31340.4
1800,Industrials,27671.87,41308.54,35065.77,39493.27,39316.17,32763.47
552,Technology,11478.81,8704.77,6959.03,11813.61,12531.04,15496.4
512,Healthcare,1569.63,3021.54,3610.16,3400.26,8523.02,11222.67
916,Utilities,33366.86,26954.01,19539.16,20240.56,18570.55,17802.34
2380,Utilities,17675.45,27141.04,32951.13,20668.01,20104.11,17456.25
3883,Real Estate,4536.03,3424.13,4537.66,4755.39,11482.49,13309.07
9668,Financials,,,,,,
1359,Financials,52219.33,44073.86,33463.48,38124.96,38803.33,25778.43
1387,Consumer Non-Cyclicals,10468.33,10785.54,15827.79,8749.25,9760.47,15432.09
667,Academic & Educational Services,,,,,,
839,Academic & Educational Services,,,,,13160.0,19393.95
165,Financials,21088.41,31210.89,30031.22,24874.33,29458.21,23391.31
