,IPO,IPO return,MatchFirm,MatchFirm return,Industry,IPO Date
197,1630,11.037037037037013,442,-0.6257861635220122,Consumer Cyclicals,2017-06-16
198,1551,0.017612524461840362,339,-0.22352941176470587,Financials,2017-06-20
199,1571,0.5944272445820415,442,-0.6237288135593222,Consumer Cyclicals,2017-06-28
200,1702,0.6528497409326417,8139,0.19714285714285706,Basic Materials,2017-11-07
201,1695,-0.4096774193548407,8212,-0.44444444444444486,Consumer Non-Cyclicals,2017-11-07
202,1962,0.03896103896103775,8212,-0.3888888888888894,Consumer Non-Cyclicals,2017-12-07
203,6113,-0.17880794701986746,442,-0.40639269406392675,Consumer Cyclicals,2017-12-07
204,6088,0.13968253968253985,8286,-0.3478260869565216,Technology,2017-07-13
205,1676,-0.7234848484848486,8212,-0.20000000000000062,Consumer Non-Cyclicals,2017-07-18
206,1649,-0.20886075949367122,8188,-0.5896103896103896,Industrials,2017-07-18
207,1216,-0.03614457831325246,339,-0.32499999999999996,Financials,2017-07-19
208,3848,-0.09447674418604712,339,-0.32499999999999996,Financials,2017-07-21
209,1693,-0.6486486486486482,8188,-0.6338028169014085,Industrials,2017-09-08
210,2863,-0.1935483870967738,8188,-0.6933333333333338,Industrials,2017-11-08
211,1696,-0.34359605911330005,8247,-0.21645021645021612,Healthcare,2017-09-19
212,3830,-0.732323232323232,442,-0.5936170212765959,Consumer Cyclicals,2017-09-21
213,1651,0.09020217729393498,8188,-0.6388059701492546,Industrials,2017-09-25
214,6060,-0.4915644171779142,339,-0.28571428571428525,Financials,2017-09-28
215,6885,0.350157728706624,8173,0.0,Energy,2017-10-10
216,2337,0.21381578947368385,8173,0.0,Energy,2017-10-16
217,2225,1.727272727272732,8188,-0.6466666666666674,Industrials,2017-10-17
218,6080,0.07692307692307643,8188,-0.6466666666666674,Industrials,2017-10-20
219,1337,-0.7270742358078608,8286,-0.26829268292682895,Technology,2017-11-13
220,1706,-0.6666666666666667,8188,-0.6466666666666673,Industrials,2017-11-15
221,1975,-0.5179856115107913,8188,-0.6535714285714289,Industrials,2017-11-16
222,3358,-2.220446049250313e-16,442,-0.5425531914893617,Consumer Cyclicals,2017-11-16
223,2858,-0.7192118226600983,339,-0.1780821917808223,Financials,2017-11-16
224,1710,-0.4714285714285701,8188,-0.6350877192982464,Industrials,2017-11-23
225,2022,-0.6514705882352941,8286,-0.0909090909090906,Technology,2017-12-15
226,1727,-0.13677130044843056,8188,-0.47777777777777886,Industrials,2017-12-15
227,1722,0.12345679012345556,8188,-0.47777777777777886,Industrials,2017-12-15
228,1789,0.6666666666666667,8247,-0.24038461538461509,Healthcare,2017-12-20
229,3878,0.8333333333333319,8188,-0.4509090909090918,Industrials,2017-12-22
230,2708,-0.21296296296296313,8286,-0.1428571428571428,Technology,2017-12-28
231,2025,0.2571428571428591,8010,0.0,Consumer Cyclicals,2018-05-01
232,3309,-0.02544031311154593,8161,-0.09638554216867434,Healthcare,2018-01-15
233,2448,-0.24242424242424176,8188,-0.4666666666666671,Industrials,2018-01-16
234,2292,-0.07633587786259599,8426,-0.13461538461538436,Real Estate,2018-01-16
235,6158,0.26250000000000195,8426,-0.13461538461538436,Real Estate,2018-01-16
236,6182,-0.2761194029850751,8139,2.187845303867407,Basic Materials,2018-01-17
