,Stock,Industry,IPO,MktCap,return_1year,IPO Year
381,1951,Healthcare,2019-06-25,9.28,0.002427184466019366,2019
382,1849,Technology,2019-06-26,0.49,0.0,2019
383,1901,Consumer Cyclicals,2019-06-28,0.98,-0.008163265306122396,2019
384,1842,Consumer Cyclicals,2019-06-28,0.57,0.003174603174603248,2019
385,1286,Industrials,2019-06-28,3.01,-0.1897435897435897,2019
386,1930,Consumer Cyclicals,2019-06-28,1.18,-0.04234841193455239,2019
387,1943,Industrials,2019-06-28,0.465,0.07692307692307698,2019
388,1701,Consumer Cyclicals,2019-06-28,0.305,-0.01851851851851853,2019
389,2180,Industrials,2019-10-07,10.88,-0.02317290552584668,2019
390,1839,Industrials,2019-11-07,5.45,0.002283105022831002,2019
391,1912,Technology,2019-07-16,0.69,0.007202881152461044,2019
392,1134,Healthcare,2019-07-16,1.06,-0.0434782608695651,2019
393,6805,Industrials,2019-07-16,1.3,0.01492537313432837,2019
394,1949,Technology,2019-07-16,1.55,-0.001449275362318938,2019
395,2772,Real Estate,2019-07-16,5.95,0.0,2019
396,2558,Financials,2019-07-18,3.82,-0.007246376811594305,2019
397,1920,Industrials,2019-08-16,0.168,0.03488372093023259,2019
398,3928,Industrials,2019-09-19,1.22,-0.02247191011235957,2019
399,2696,Healthcare,2019-09-25,49.45,0.01123595505617979,2019
400,1876,Consumer Non-Cyclicals,2019-09-30,28.2,-0.0142857142857143,2019
401,3938,Financials,2019-09-30,1.07,0.02898550724637684,2019
402,1960,Energy,2019-09-30,0.8,0.0441176470588234,2019
403,3601,Technology,2019-10-10,8.6,0.0,2019
404,6110,Consumer Cyclicals,2019-10-10,9.25,,2019
405,1846,Consumer Cyclicals,2019-10-15,11.0,0.01400000000000006,2019
406,1582,Industrials,2019-10-16,1.15,0.02615694164989938,2019
407,1955,Industrials,2019-10-16,1.23,0.02941176470588238,2019
408,1084,Consumer Non-Cyclicals,2019-10-17,1.35,-0.03824362606232289,2019
409,1283,Industrials,2019-10-18,0.74,0.0,2019
410,1959,Consumer Cyclicals,2019-10-18,0.77,-0.01449275362318826,2019
411,1967,Technology,2019-10-18,3.4,-0.01408450704225353,2019
412,2606,Real Estate,2019-10-18,42.55,-0.03797468354430383,2019
413,1843,Consumer Cyclicals,2019-10-23,0.61,0.0,2019
414,1871,Academic & Educational Services,2019-10-24,0.87,0.04054054054054058,2019
415,1853,Utilities,2019-10-24,2.2,0.01382488479262674,2019
416,1692,Consumer Cyclicals,2019-10-25,0.86,0.0,2019
417,6855,Healthcare,2019-10-28,37.6,-0.01369863013698631,2019
418,1847,Basic Materials,2019-10-31,2.66,0.01724137931034484,2019
419,1427,Real Estate,2019-11-11,2.57,0.0,2019
420,1640,Consumer Cyclicals,2019-12-11,2.6,0.0,2019
421,3681,Healthcare,2019-12-11,4.02,-0.06451612903225812,2019
422,6186,Consumer Non-Cyclicals,2019-11-13,7.44,-0.03200000000000003,2019
423,1346,Consumer Cyclicals,2019-11-13,0.62,-0.08208955223880604,2019
424,1401,Industrials,2019-11-13,0.62,0.0,2019
425,1747,Technology,2019-11-14,0.92,0.1538461538461538,2019
426,3348,Industrials,2019-11-15,1.19,0.0285714285714286,2019
427,2103,Real Estate,2019-11-15,3.95,0.0,2019
428,2296,Industrials,2019-11-21,0.26,0.004166666666666763,2019
429,1756,Academic & Educational Services,2019-11-25,2.7,0.004184100418409952,2019
430,1425,Consumer Cyclicals,2019-11-28,0.415,,2019
431,9966,Healthcare,2019-12-12,13.5,-0.01497005988023947,2019
432,2400,Technology,2019-12-12,11.86,0.00599700149925038,2019
433,1593,Academic & Educational Services,2019-12-13,2.06,-0.01329394387001475,2019
434,6919,Industrials,2019-12-13,26.55,-0.01754385964912282,2019
435,3680,Technology,2019-12-13,1.62,-0.008695652173912858,2019
436,1691,Consumer Cyclicals,2019-12-18,5.49,0.09615384615384624,2019
437,1553,Basic Materials,2019-12-18,2.15,-0.01418439716312042,2019
438,6193,Basic Materials,2019-12-18,1.48,-0.01612903225806441,2019
439,6049,Real Estate,2019-12-19,45.35,0.03703703703703707,2019
440,9928,Real Estate,2019-12-19,4.88,0.01818181818181819,2019
441,9909,Consumer Cyclicals,2019-12-30,10.06,-0.02464525765496648,2019
442,9911,Consumer Cyclicals,2019-12-31,3.25,0.03174603174603174,2019
443,1542,Utilities,2019-12-31,4.22,-0.01102362204724414,2019
