,Stock,Industry,IPO,MktCap,return_1year,IPO Year
236,2292,Real Estate,2018-01-16,1.31,-0.0273224043715847,2018
237,6158,Real Estate,2018-01-16,4.0,-0.0273224043715847,2018
238,6182,Basic Materials,2018-01-17,0.67,0.0,2018
239,2139,Financials,2018-01-18,2.88,0.0,2018
240,1665,Technology,2018-01-19,0.98,0.006944444444444451,2018
241,2683,Consumer Cyclicals,2018-01-22,1.21,0.01045296167247388,2018
242,1711,Consumer Cyclicals,2018-01-29,1.6,0.001727115716753024,2018
243,6829,Industrials,2018-08-02,0.395,-0.006849315068493157,2018
244,1183,Industrials,2018-02-13,1.37,0.006535947712418306,2018
245,1729,Industrials,2018-02-13,0.425,-0.004132231404958589,2018
246,1621,Energy,2018-05-03,0.25,-0.00526315789473673,2018
247,2182,Consumer Non-Cyclicals,2018-08-03,0.455,0.0,2018
248,1815,Consumer Cyclicals,2018-03-13,2.39,0.001226993865030649,2018
249,1737,Industrials,2018-03-14,0.53,-0.01090909090909089,2018
250,1705,Consumer Non-Cyclicals,2018-03-14,3.98,0.01428571428571423,2018
251,6036,Technology,2018-03-16,0.9,0.02941176470588238,2018
252,2377,Industrials,2018-03-16,2.38,0.0149253731343283,2018
253,2363,Technology,2018-03-16,2.4,-0.002824858757062087,2018
254,2779,Academic & Educational Services,2018-03-26,3.26,0.0,2018
255,2116,Basic Materials,2018-03-28,1.22,-0.01971830985915489,2018
256,1716,Consumer Cyclicals,2018-03-28,6.38,0.0,2018
257,1735,Industrials,2018-03-29,0.377,,2018
258,1726,Industrials,2018-04-18,0.56,0.0,2018
259,1671,Utilities,2018-04-27,0.196,0.006993006993007,2018
260,1742,Industrials,2018-11-05,0.21,0.0006776598147730097,2018
261,1750,Industrials,2018-11-05,0.295,0.0006776598147730097,2018
262,1752,Academic & Educational Services,2018-11-05,0.33,-0.04833512352309356,2018
263,2119,Consumer Non-Cyclicals,2018-11-05,1.07,0.001161440185830405,2018
264,1598,Academic & Educational Services,2018-05-29,1.71,-0.003516998827666983,2018
265,1978,Consumer Cyclicals,2018-05-30,1.54,-0.01369863013698621,2018
266,1757,Industrials,2018-07-06,0.41,-0.006423982869379069,2018
267,1806,Industrials,2018-06-15,6.62,-0.02453987730061338,2018
268,2003,Financials,2018-06-21,20.45,0.005917159763313649,2018
269,1916,Financials,2018-06-26,6.41,-0.07928388746803067,2018
270,1749,Consumer Cyclicals,2018-06-27,3.49,0.0,2018
271,1587,Consumer Non-Cyclicals,2018-06-27,0.58,0.0,2018
272,1620,Consumer Cyclicals,2018-06-28,0.355,0.0,2018
273,6100,Industrials,2018-06-29,32.5,0.0,2018
274,1810,Technology,2018-09-07,16.5,-0.05940594059405946,2018
275,1652,Healthcare,2018-11-07,2.44,0.0116279069767442,2018
276,1746,Industrials,2018-11-07,0.221,0.0235294117647059,2018
277,6860,Technology,2018-12-07,1.72,0.007874015748031503,2018
278,3700,Technology,2018-12-07,2.15,0.007936507936507943,2018
279,1760,Consumer Cyclicals,2018-12-07,2.88,0.0,2018
280,1996,Real Estate,2018-12-07,2.7,0.004115226337448594,2018
281,1773,Academic & Educational Services,2018-12-07,1.35,-0.01217861975642759,2018
282,2051,Technology,2018-07-13,9.1,-0.001890359168241926,2018
283,1775,Academic & Educational Services,2018-07-13,1.32,0.0,2018
284,1731,Consumer Cyclicals,2018-07-13,1.12,0.04545454545454529,2018
285,1721,Basic Materials,2018-07-16,0.61,-0.01428571428571434,2018
286,1968,Consumer Cyclicals,2018-07-16,2.87,-0.01012145748987851,2018
287,1715,Consumer Cyclicals,2018-07-16,0.315,-0.01202404809619248,2018
288,3302,Industrials,2018-07-18,1.23,0.0,2018
289,1576,Industrials,2018-07-19,2.3,0.003802281368821381,2018
