,Instrument,IPO Date,Turnover,Relative Valuation EV/EBITDA Component,Outstanding Shares,TRBC Economic Sector Name
99,1858.HK,11/3/2015,29124635,18,345852000,Healthcare
100,0442.HK,11/3/2015,24530,,172600000,Consumer Cyclicals
101,1430.HK,11/3/2015,41460,86,903084000,Utilities
102,1566.HK,12/3/2015,13115840,9,964062000,Consumer Cyclicals
103,1310.HK,12/3/2015,16595717,58,1311599356,Technology
104,1415.HK,31/3/2015,46651335,100,831518800,Technology
105,3606.HK,10/6/1993,36974880,50,505631200,Consumer Cyclicals
106,1245.HK,8/4/2015,,93,1195850460,Consumer Cyclicals
107,1776.HK,11/6/1997,53757907,,1701796200,Financials
108,1500.HK,16/4/2015,16805,33,830000000,Industrials
109,6826.HK,30/4/2015,7548525,16,39406600,Healthcare
110,1470.HK,12/5/2015,28092,3,800000000,Consumer Cyclicals
111,1301.HK,27/5/2015,351800,3,621958000,Industrials
112,6839.HK,27/5/2015,123410,65,1193213457,Utilities
113,6886.HK,26/2/2010,91302289,,1719045680,Financials
114,1530.HK,11/6/2015,58504692,67,2543549999,Healthcare
115,6183.HK,18/6/2015,,,1517895167,Consumer Non-Cyclicals
116,0574.HK,19/6/2015,201174,1,1474992908,Consumer Non-Cyclicals
117,2686.HK,23/6/2015,59360,100,3393582395,Energy
118,1528.HK,26/6/2015,1794354,58,741285634,Consumer Cyclicals
119,6133.HK,26/6/2015,6390,3,850000000,Technology
120,3396.HK,29/6/2015,22315297,95,2356230900,Technology
121,3882.HK,2/7/2015,5355,1,952739455,Technology
122,2286.HK,3/7/2015,143860,56,599999989,Real Estate
123,2193.HK,3/7/2015,6880,9,419818000,Industrials
124,1986.HK,3/7/2015,192810,100,1033146000,Basic Materials
125,1456.HK,6/7/2015,26567655,,442640000,Financials
126,2699.HK,6/7/2015,907400,2,1878622000,Real Estate
127,1509.HK,7/7/2015,,,758418085,Healthcare
128,1461.HK,7/7/2015,68480,,1001900000,Financials
129,6836.HK,7/7/2015,2876840,100,977462000,Consumer Non-Cyclicals
130,2666.HK,8/7/2015,9351880,42,1716304580,Financials
131,1498.HK,8/7/2015,1029745,73,394892941,Healthcare
132,3737.HK,13/7/2015,345830,95,840000000,Consumer Non-Cyclicals
133,6896.HK,15/7/2015,828230,100,739302000,Healthcare
134,3969.HK,7/8/2015,30977671,83,1968801000,Technology
135,1718.HK,11/8/2015,1396325,1,960000000,Industrials
