,Instrument,IPO Date,Turnover,Relative Valuation EV/EBITDA Component,Outstanding Shares,TRBC Economic Sector Name
436,0780.HK,26/11/2018,132854784,55,2164076319,Consumer Cyclicals
437,1761.HK,27/11/2018,563135,1,1662001609,Consumer Cyclicals
438,1790.HK,19/11/2018,68300,85,1000000000,Utilities
439,1119.HK,6/12/2018,20162542,65,1269718990,Consumer Cyclicals
440,2168.HK,6/12/2018,17362566,85,154000000,Real Estate
441,3668.HK,28/6/2012,,93,1320439437,Energy
442,3992.HK,11/12/2018,20320,48,500000000,Real Estate
443,1860.HK,12/12/2018,5707040,64,1534204000,Consumer Cyclicals
444,1837.HK,12/12/2018,2247400,54,2188514000,Consumer Non-Cyclicals
445,2798.HK,12/12/2018,6865650,31,1600000000,Energy
446,2359.HK,8/5/2018,231835431,11,306924384,Healthcare
447,1992.HK,14/12/2018,364756,70,1235045383,Consumer Cyclicals
448,1995.HK,17/12/2018,86335064,19,1670400000,Real Estate
449,1983.HK,17/12/2018,,,2264793385,Financials
450,1675.HK,19/12/2018,28549012,58,914901433,Technology
451,2892.HK,20/12/2018,,85,750000000,Real Estate
452,1820.HK,21/12/2018,269520,87,300632000,Basic Materials
453,1762.HK,21/12/2018,513450,96,1320018350,Consumer Cyclicals
454,1877.HK,15/7/2020,29337093,4,182746500,Healthcare
455,3978.HK,27/12/2018,1934790,,849720000,Academic & Educational Services
456,1713.HK,28/12/2018,31180,100,1074357700,Utilities
457,1759.HK,28/12/2018,,,216000000,Utilities
458,1796.HK,31/12/2018,27920,4,480000000,Consumer Cyclicals
459,1845.HK,3/1/2019,167895,81,1333335000,Industrials
460,1743.HK,4/1/2019,,57,69791167,Industrials
461,2360.HK,11/1/2019,606100,51,1000000000,Consumer Non-Cyclicals
462,2885.HK,11/1/2019,36490,,400000000,Technology
463,1767.HK,14/1/2019,177000,88,1000000000,Consumer Non-Cyclicals
464,1785.HK,15/1/2019,17320,89,1656102000,Industrials
465,6162.HK,15/1/2019,95208,98,2000000000,Consumer Cyclicals
466,2013.HK,15/1/2019,536898729,8,2254977427,Technology
467,1851.HK,18/1/2019,310760,31,500000000,Academic & Educational Services
468,1890.HK,25/1/2019,9442960,47,2015248667,Academic & Educational Services
469,1896.HK,4/2/2019,40022048,28,1135244901,Technology
470,1703.HK,15/2/2019,1158875,100,1000000000,Consumer Cyclicals
471,2616.HK,26/2/2019,3272360,1,1054830292,Healthcare
472,2019.HK,26/2/2019,3105330,75,2701341000,Real Estate
473,1793.HK,27/2/2019,21560,,800000000,Industrials
474,1872.HK,28/2/2019,34250,98,900000000,Consumer Cyclicals
475,1025.HK,28/2/2019,11888,1,520000000,Consumer Cyclicals
476,2108.HK,6/3/2019,30364,51,800000000,Consumer Cyclicals
477,1902.HK,6/3/2019,1012060,53,1446962138,Real Estate
478,1158.HK,11/3/2019,416400,65,280000000,Consumer Cyclicals
479,1917.HK,14/3/2019,141900,2,2300000000,Consumer Cyclicals
480,3316.HK,15/3/2019,6677420,51,276407000,Real Estate
481,1907.HK,15/3/2019,2872400,67,4090000000,Basic Materials
482,1891.HK,15/3/2019,358804,92,1000000000,Industrials
483,1563.HK,15/3/2019,1183140,,1500000000,Financials
484,3662.HK,18/3/2019,33970620,75,726250000,Real Estate
485,2682.HK,18/3/2019,88840,100,1000000000,Industrials
486,6819.HK,27/3/2019,1869515,10,457112155,Technology
487,1865.HK,27/3/2019,7089800,10,920000000,Industrials
488,6185.HK,28/3/2019,220734243,,132670900,Healthcare
489,1797.HK,28/3/2019,100068279,3,939965602,Academic & Educational Services
490,2718.HK,3/4/2019,27890,,2139651400,Financials
491,2660.HK,16/4/2019,967040,100,1018274000,Technology
492,3321.HK,23/4/2019,2385175,,500000000,Industrials
493,1545.HK,25/4/2019,22540,100,2000000000,Consumer Cyclicals
494,1906.HK,26/4/2019,698450,24,1200000000,Consumer Cyclicals
495,6806.HK,26/1/2015,7218312,,2504000000,Financials
496,1780.HK,30/4/2019,6000,100,620000000,Industrials
497,1753.HK,7/5/2019,13573820,60,1077323200,Consumer Cyclicals
498,1857.HK,16/2/2004,399230,73,2860876723,Utilities
499,1873.HK,9/5/2019,118105427,11,1902594796,Healthcare
500,1903.HK,10/5/2019,152640,100,500000000,Industrials
501,1832.HK,16/5/2019,1780,100,360000000,Consumer Cyclicals
502,2346.HK,16/5/2019,149430,,500000000,Basic Materials
503,2230.HK,21/5/2019,101635,,1992000000,Consumer Cyclicals
504,1817.HK,27/5/2019,4986105,84,950000000,Consumer Cyclicals
505,2060.HK,28/5/2019,4744140,61,811044000,Basic Materials
506,3868.HK,28/5/2019,84298880,43,7109998471,Utilities
507,1521.HK,30/5/2019,6786180,18,2033278910,Healthcare
508,2181.HK,31/5/2019,271940,2,4124080000,Healthcare
509,1905.HK,3/6/2019,3582080,,8235300000,Financials
510,0667.HK,12/6/2019,57065340,33,2193416706,Academic & Educational Services
511,6055.HK,12/6/2019,13586340,19,691680000,Consumer Non-Cyclicals
512,2189.HK,13/6/2019,122000,95,1000000000,Healthcare
513,6811.HK,13/6/2019,2447250,83,1001473000,Consumer Cyclicals
514,3692.HK,14/6/2019,100746061,10,5918991200,Healthcare
515,3877.HK,17/6/2019,1551520,,6136066234,Financials
516,1935.HK,18/6/2019,1180940,60,1600830000,Academic & Educational Services
517,6117.HK,19/6/2019,3600,100,1660000000,Industrials
518,1769.HK,21/6/2019,29976210,11,555700000,Academic & Educational Services
519,1951.HK,25/6/2019,75382212,19,2429501802,Healthcare
520,1849.HK,26/6/2019,462700,59,800000000,Technology
521,1901.HK,28/6/2019,474100,23,500000000,Consumer Cyclicals
522,1842.HK,28/6/2019,213388,15,1000000000,Consumer Cyclicals
523,1286.HK,28/6/2019,217250,88,1883295000,Industrials
524,1930.HK,28/6/2019,34400,97,660000000,Consumer Cyclicals
525,1943.HK,28/6/2019,875,1,1000000000,Industrials
526,1701.HK,28/6/2019,529732,26,1000000000,Consumer Cyclicals
527,3798.HK,4/7/2019,12560620,52,1256000000,Consumer Cyclicals
528,0924.HK,5/7/2019,54480,90,1000000000,Industrials
529,2180.HK,10/7/2019,85760,87,207500000,Industrials
530,1839.HK,11/7/2019,2116840,97,1765000000,Industrials
531,1977.HK,12/7/2019,1656000,100,1400000000,Industrials
532,6093.HK,12/7/2019,478260,48,480000000,Real Estate
533,1931.HK,12/7/2019,3769700,19,1329740000,Healthcare
534,1912.HK,16/7/2019,582270,98,800000000,Technology
535,0382.HK,16/7/2019,12681420,60,1018362000,Academic & Educational Services
536,1134.HK,16/7/2019,13120,34,500000000,Healthcare
537,6805.HK,16/7/2019,191960,37,1120000000,Industrials
538,1949.HK,16/7/2019,2270130,2,400000000,Technology
539,2772.HK,16/7/2019,10352525,88,3581791500,Real Estate
540,2558.HK,18/7/2019,20580,,5838650000,Financials
541,1920.HK,16/8/2019,9600,87,2600000000,Industrials
542,3928.HK,19/9/2019,25000,95,480000000,Industrials
543,2696.HK,25/9/2019,3974195,3,543494853,Healthcare
544,1876.HK,30/9/2019,141166597,30,13243397000,Consumer Non-Cyclicals
545,3938.HK,30/9/2019,21744068,,405962965,Financials
546,1960.HK,30/9/2019,985,100,1000000000,Energy
547,6820.HK,8/10/2019,7398500,,2187750000,Consumer Cyclicals
548,3601.HK,10/10/2019,644620,100,269000000,Technology
549,6110.HK,10/10/2019,30554227,66,6201222024,Consumer Cyclicals
550,1895.HK,11/10/2019,6073700,89,549500000,Real Estate
551,1846.HK,15/10/2019,654460,45,329234000,Consumer Cyclicals
552,1582.HK,16/10/2019,20000,100,500000000,Industrials
553,1955.HK,16/10/2019,166780,99,500000000,Industrials
554,1084.HK,17/10/2019,237800,95,816392000,Consumer Non-Cyclicals
555,1283.HK,18/10/2019,14578050,53,800000000,Industrials
556,1959.HK,18/10/2019,15350,97,500000000,Consumer Cyclicals
557,1967.HK,18/10/2019,3528020,35,250000000,Technology
558,2606.HK,18/10/2019,22219680,88,178102160,Real Estate
559,1843.HK,23/10/2019,177260,100,800000000,Consumer Cyclicals
560,1871.HK,24/10/2019,130064,,400000000,Academic & Educational Services
561,1853.HK,24/10/2019,1724750,100,466700000,Utilities
562,1692.HK,25/10/2019,318040,100,359000000,Consumer Cyclicals
563,6855.HK,28/10/2019,11750670,1,223901727,Healthcare
564,0302.HK,31/10/2019,22403540,76,2330150000,Consumer Cyclicals
565,1847.HK,31/10/2019,185720,100,446272000,Basic Materials
566,1821.HK,1/11/2019,79491685,29,3058701191,Financials
567,2163.HK,6/11/2019,30617435,39,487639400,Basic Materials
568,1922.HK,6/11/2019,4306900,65,267152000,Real Estate
569,1870.HK,8/11/2019,108127,,520000000,Industrials
570,1987.HK,8/11/2019,4525800,20,1000000000,Industrials
571,1921.HK,8/11/2019,33400,68,1500000000,Basic Materials
572,1501.HK,8/11/2019,7629030,15,166000000,Healthcare
573,1875.HK,8/11/2019,246392,1,570000000,Healthcare
574,3603.HK,8/11/2019,4654980,38,1500000000,Real Estate
575,1427.HK,11/11/2019,3261230,96,809456000,Real Estate
576,1640.HK,12/11/2019,85330,100,400000000,Consumer Cyclicals
577,3681.HK,12/11/2019,765969,1,1006240400,Healthcare
578,6186.HK,13/11/2019,258436712,41,8933340000,Consumer Non-Cyclicals
579,1346.HK,13/11/2019,10160,100,639100000,Consumer Cyclicals
580,1401.HK,13/11/2019,3076200,78,1000000000,Industrials
581,1747.HK,14/11/2019,,98,501633663,Technology
582,3348.HK,15/11/2019,18520,100,500000000,Industrials
583,2103.HK,15/11/2019,7272790,96,3570187000,Real Estate
584,2296.HK,21/11/2019,691440,,2000000000,Industrials
585,1756.HK,25/11/2019,70090,81,1200000000,Academic & Educational Services
586,9988.HK,19/9/2014,3979294977,26,21645092800,Technology
587,1425.HK,28/11/2019,386875,98,1250000000,Consumer Cyclicals
588,3759.HK,28/1/2019,89848026,11,134016500,Healthcare
589,2231.HK,5/12/2019,1303210,75,1646173000,Real Estate
590,2500.HK,10/12/2019,52928012,6,422968943,Healthcare
591,9966.HK,12/12/2019,11304180,2,933465370,Healthcare
592,2400.HK,12/12/2019,39050700,37,454112700,Technology
593,1593.HK,13/12/2019,6369100,65,1000000000,Academic & Educational Services
594,6919.HK,13/12/2019,7715100,67,153669579,Industrials
595,3680.HK,13/12/2019,10411300,5,400000000,Technology
596,1691.HK,18/12/2019,115487847,42,3412654277,Consumer Cyclicals
597,1553.HK,18/12/2019,51780,98,433800000,Basic Materials
598,6193.HK,18/12/2019,203240,81,400000000,Basic Materials
599,6049.HK,19/12/2019,62836420,27,553333400,Real Estate
600,9928.HK,19/12/2019,54620833,36,985672747,Real Estate
601,6199.HK,30/12/2019,34450,,14588046744,Financials
602,9909.HK,30/12/2019,53910775,24,621500000,Consumer Cyclicals
603,9911.HK,31/12/2019,15736160,76,1000000000,Consumer Cyclicals
604,1542.HK,31/12/2019,,68,200000000,Utilities
